,index,variable,value
0,0,Logistic Regression,0.0009216792117448265
1,1,Logistic Regression,0.0007241765235137923
2,2,Logistic Regression,0.0010094581842919528
3,3,Logistic Regression,0.000899734468608045
4,4,Logistic Regression,0.0011411266431126425
5,5,Logistic Regression,0.000899734468608045
6,6,Logistic Regression,0.0010094581842919528
7,7,Logistic Regression,0.0009655686980183897
8,8,Logistic Regression,0.001426408303890803
9,9,Logistic Regression,0.0009436239548816081
10,10,Logistic Regression,0.0010972371568390793
11,11,Logistic Regression,0.001053347670565516
12,12,Logistic Regression,0.0011191818999758609
13,13,Logistic Regression,0.001163071386249424
14,14,Logistic Regression,0.0008777897254712634
15,0,Decision Tree,0.0011191818999758609
16,1,Decision Tree,0.000899734468608045
17,2,Decision Tree,0.0010094581842919528
18,3,Decision Tree,0.0010972371568390793
19,4,Decision Tree,0.0007461212666505739
20,5,Decision Tree,0.0006802870372402291
21,6,Decision Tree,0.0009436239548816081
22,7,Decision Tree,0.0008119554960609186
23,8,Decision Tree,0.0011850161293862056
24,9,Decision Tree,0.0008777897254712634
25,10,Decision Tree,0.0009875134411551712
26,11,Decision Tree,0.0007461212666505739
27,12,Decision Tree,0.0008339002391977002
28,13,Decision Tree,0.0010094581842919528
29,14,Decision Tree,0.000790010752924137
30,0,Random Forest,0.0010709034650749412
31,1,Random Forest,0.0008690118282165507
32,2,Random Forest,0.0010700256753494698
33,3,Random Forest,0.0009868550988610678
34,4,Random Forest,0.0008720840922557002
35,5,Random Forest,0.0008881037547455507
36,6,Random Forest,0.000997608022998091
37,7,Random Forest,0.0009585463802146196
38,8,Random Forest,0.0010498365116636311
39,9,Random Forest,0.0009484517983717002
40,10,Random Forest,0.0010357918760560908
41,11,Random Forest,0.0009440628497443439
42,12,Random Forest,0.0008916149136474358
43,13,Random Forest,0.0011167679782308148
44,14,Random Forest,0.0008957844148434243
45,0,K-Nearest Neighbors,0.0025236454607298823
46,1,K-Nearest Neighbors,0.0018872479097632163
47,2,K-Nearest Neighbors,0.0025412012552393074
48,3,K-Nearest Neighbors,0.0021856964164234456
49,4,K-Nearest Neighbors,0.0023744212073997673
50,5,K-Nearest Neighbors,0.002040861111720687
51,6,K-Nearest Neighbors,0.002286642234852641
52,7,K-Nearest Neighbors,0.00233492066975356
53,8,K-Nearest Neighbors,0.002655313919550572
54,9,K-Nearest Neighbors,0.0020979174438763193
55,10,K-Nearest Neighbors,0.002440255436810112
56,11,K-Nearest Neighbors,0.0022646974917158594
57,12,K-Nearest Neighbors,0.0022208080054422962
58,13,K-Nearest Neighbors,0.002378810156027124
59,14,K-Nearest Neighbors,0.002150584827404595
60,0,Bagging,0.0011389321687989642
61,1,Bagging,0.0009085123658627577
62,2,Bagging,0.0010687089907612632
63,3,Bagging,0.0009458184291952862
64,4,Bagging,0.0008360947135113784
65,5,Bagging,0.0008514560337071255
66,6,Bagging,0.0009897079154688494
67,7,Bagging,0.0009260681603721829
68,8,Bagging,0.001077486888015976
69,9,Bagging,0.0010072637099782747
70,10,Bagging,0.0010160416072329873
71,11,Bagging,0.0008975399942943669
72,12,Bagging,0.0008690118282165507
73,13,Bagging,0.0010862647852706885
74,14,Bagging,0.0008821786740986198
75,0,Gradient Boosting,0.0010947651430312682
76,1,Gradient Boosting,0.0009181466887048233
77,2,Gradient Boosting,0.001125394535035445
78,3,Gradient Boosting,0.00097796919823793
79,4,Gradient Boosting,0.0010029461720565962
80,5,Gradient Boosting,0.000892669961713986
81,6,Gradient Boosting,0.0010625785415914028
82,7,Gradient Boosting,0.0010007747614579688
83,8,Gradient Boosting,0.0011296416547892788
84,9,Gradient Boosting,0.0010480894145793182
85,10,Gradient Boosting,0.0011394934764428456
86,11,Gradient Boosting,0.0009679048647492547
87,12,Gradient Boosting,0.0009632587018980375
88,13,Gradient Boosting,0.0011433703941721232
89,14,Gradient Boosting,0.0009568203270453044
